Source;Computational?;Answer;Difficulty;Topic;Problem;Solution
APMO 2019/1;0;N/A;;A;Let \(\mathbb{Z}^+\) be the set of positive integers. Determine all functions \(f:\mathbb{Z}^+\rightarrow\mathbb{Z}^+\) such that \(a^2+f(a)f(b)\) is divisible by \(f(a)+b\) for all positive integers \(a\) and \(b\). ;
APMO 2019/2;0;N/A;;N;Let \(m\) be a fixed integer. The infinite sequence \(\{a_n\}_{n\geq 1}\) is defined in the following way: \(a_1\) is a positive integer, and for every integer \(n\geq 1\) we have $$a_{n+1}=\begin{cases} a_n^2+2^m & \textrm{if } a_n\leq 2^m \\ a_n/2 & \textrm{if } a_n\leq 2^m.\end{cases}$$ For each \(m\) determine all possible values of \(a_1\) such that every term in the sequence is an integer.;
APMO 2019/3;0;N/A;;G;Let \(ABC\) be a scalene triangle with circumcircle \(\Gamma\). Let \(M\) be the midpoint of \(BC\). A variable point \(P\) is selected in the line segment \(AM\). The circumcircles of triangles \(BPM\) and \(CPM\) intersect \(\Gamma\) again at points \(D\) and \(E\), respectively. The lines \(DP\) and \(EP\) intersect (a second time) the circumcircles to triangles \(CPM\) and \(BPM\) at \(X\) and \(Y\), respectively. Prove that as \(P\) varies, the circumcircle of \(\triangle AXY\) passes through a fixed point \(T\) distinct from \(A\).;
APMO 2019/4;0;N/A;;C;Consider a \(2018\times 2019\) board with integers in each unit square. Two unit squares are said to be neighbours if they share a common edge. In each turn, you choose some unit squares. Then for each chosen unit square the average of all its neighbours is calculated. Finally, after these calculations are done, the number in each chosen unit square is replaced by the corresponding average. Is it always possible to make the numbers in all squares become the same after finitely many turns?;
APMO 2019/5;0;N/A;;A;Determine all the functions \(f:\mathbb{R}\rightarrow\mathbb{R}\) such that $$f(x^2+f(y))=f(f(x))+f(y^2)+2f(xy)$$ for all real numbers \(x\) and \(y\).;
APMO 2018/1;0;N/A;;G;Let \(H\) be the orthocenter of triangle \(ABC\). Let \(M\) and \(N\) be the midpoints of the sides \(AB\) and \(AC\), respectively. Assume that \(H\) lies inside the quadrilateral \(BMNC\) and that the circumcircles of triangles \(BMH\) and \(CNH\) are tangent to each other. The line through \(H\) parallel to \(BC\) intersects the circumcircles of the triangles \(BMH\) and \(CNH\) in the points \(K\) and \(L\), respectively. Let \(F\) be the intersection point of \(MK\) and \(NL\) and let \(J\) be the incenter of triangle \(MHN\). Prove that \(FJ=JA\).;
APMO 2018/2;0;N/A;;A;Let \(f(x)\) and \(g(x)\) be given by $$f(x)=\frac{1}{x}+\frac{1}{x-2}+\frac{1}{x-4}+\dots+\frac{1}{x-2018}$$ and $$\frac{1}{x-1}+\frac{1}{x-3}+\frac{1}{x-5}+dots+\frac{1}{x-2017}.$$ Prove that $$|f(x)-g(x)| > 2$$ for any non-negative real number \(x\) satisfying \(0 < x < 2018\).;
APMO 2018/3;0;N/A;;C;A collection of \(n\) squares on the plane is called <i>tri-connected</i> if the following criteria and satisfied: <ul><li>All the squares are congruent.</li><li>If two squares have a point \(P\) in common, then \(P\) is a vertex of each of the squares.</li><li>Each square touches exactly three other squares.</li></ul> How many positive integers \(n\) are there with \(2018\leq n\leq 3018\), such that there exists a collection of \(n\) squares that is tri-connected?;
APMO 2018/4;0;N/A;;N;Let \(ABC\) be an equilateral triangle. From the vertex \(A\) we draw a ray towards the interior of the triangle such that the ray reaches one of the sides of the triangle. When the ray reaches a side, it then bounces off following the <i>law of reflection</i>, that is, if it arrives with a directed angle \(\alpha\), it leaves with a directed angle \(180^\circ-\alpha\). After \(n\) bounces, the ray returns to \(A\) without ever landing on any of the other two vertices. Find all possible values of \(n\).;
APMO 2018/5;0;N/A;;A;Find all polynomials \(P(x)\) with integer coefficients such that for all real numbers \(s\) and \(t\), if \(P(s)\) and \(P(t)\) are both integers, then \(P(st)\) is also an integer.;
APMO 2017/1;0;N/A;;C;We call a \(5\)-tuple of numbers <i>arrangeable</i> if its elements can be labeled \(a, b, c, d, e\) in some order so that \(a-b+c-d+e=29\). Determine all \(2017\)-tuples of integers \(n_1, n_2, \dots, n_{2017}\) such that if we place them in a circle in clockwise order, then any \(5\)-tuple of numbers in consecutive positions on the circle is arrangeable.;
APMO 2017/2;0;N/A;;G;Let \(ABC\) be a triangle with \(AB < AC\). Let \(D\) be the intersection point of the internal bisector of angle \(BAC\) and the circumcircle of \(ABC\). Let \(Z\) be the intersection point of the perpendicular bisector of \(AC\) with the external bisector of \(\angle BAC\). Prove that the midpoint of segment \(AB\) lies on the circumcircle of triangle \(ADZ\).;
APMO 2017/3;0;N/A;;C;Let \(A(n)\) denote the number of sequences \(a_1\geq a_2\geq \dots\geq a_k\) of positive integers for which \(a_1+\dots+a_k=n\) and each \(a_i+1\) is a power of two (\(i=1,2,\dots, k\)). Let \(B(n)\) bdenote the number of sequences \(b_1\geq b_2\geq \dots\geq b_m\) of positive integers for which \(b_1+\dots+b_m=n\) and each inequality \(b_j\geq 2b_{j+1}\) holds (\(j = 1, 2, \dots, m-1\)). <br> Prove that \(A(n)=B(n)\) for every positive integer \(n\).;
APMO 2017/4;0;N/A;;N;Call a rational number \(r\) <i>powerful</i> if \(r\) can be expresssed in the form \(\frac{p^k}{q}\) for some relatively prime positive integers \(p, q\) and some integer \(k > 1\). Let \(a, b, c\) be positive rational numbers such that \(abc=1\). Suppose there exist positive integers \(x, y, z\) such that \(a^x+b^y+c^z\) is an integer. Prove that \(a, b, c\) are all <i>powerful</i>.;
APMO 2017/5;0;N/A;;A;Let \(n\) be a positive integer. A pair of \(n\)-tuples \((a_1, \dots, a_n)\) and \((b_1, \dots, b_n)\) with integer entries is called an <i>exquisite pair</i> if $$|a_1b_1+\dots+a_nb_n|\leq 1.$$ Determine the maximum number of distinct \(n\)-tuples with integer entries such that any two of them form an exquisite pair.;
APMO 2016/1;0;N/A;;G;We say that a triangle \(ABC\) is <i>great</i> if the following holds: for any point \(D\) on the side \(BC\), if \(P\) and \(Q\) are the feet of the perpendiculars from \(D\) to the lines \(AB\) and \(AC\), respectively, then the reflection of \(D\) in the line \(PQ\) lies on the circumcircle of the triangle \(ABC\). <br> Prove that triangle \(ABC\) is great if and only if \(\angle A = 90^\circ\) and \(AB = AC\).;
APMO 2016/2;0;N/A;;N;A positive integer is called <i>fancy</i> if it can be expressed in the form $$2^a_1+2^a_2+\dots+2^a_{100},$$ where \(a_1, a_2, \dots, a_{100}\) are non-negative integers that are not necessarily distinct. <br> Find the smallest positive integer \(n\) such that no multiple of \(n\) is a fancy number.;
APMO 2016/3;0;N/A;;G;Let \(AB\) and \(AC\) be two distinct rays not laying on the same line, and let \(\omega\) be a circle with center \(O\) that is tangent to ray \(AC\) at \(E\) and ray \(AB\) at \(F\). Let \(R\) be a point on segment \(EF\). The line through \(O\) parallel to \(EF\) intersects line \(AB\) at \(P\). Let \(N\) be the intersection of lines \(PR\) and \9AC\), and let \(M\) be the intersection of line \(AB\) and the line through \(R\) parallel to \(AC\). Prove that \(MN\) is tangent to \(\omega\).;
APMO 2016/4;0;N/A;;C;The country Dreamland consists of \(2016\) cities. The airline Starways wants to establish some one-way flights between pairs of cities in such a way that each city has exactly one flight out of it. Find the smallest positive integer \(k\) such that no matter how Starways establishes its flights, the cities can always be partitioned into \(k\) groups so that from any city it is not possible to reach another city in the same group by using at most \(28\) flights.;
APMO 2016/5;0;N/A;;A;Find all functions \(f:\mathbb{R}^+\rightarrow\mathbb{R}^+\) such that $$(z+1)f(x+y)=f(xf(z)+y)+f(yf(z)+x),$$ for all positive real numbers \(x, y, z\).;
APMO 2015/1;0;N/A;;G;Let \(ABC\) be a triangle, and let \(D\) be a point on side \(BC\). A line through \(D\) intersects side \(AB\) at \(X\) and ray \(AC\) at \(Y\). The circumcircle of triangle \(BXD\) intersects the circumcircle \(\omega\) of triangle \(ABC\) again at point \(Z\neq B\). The lines \(ZD\) and \(ZY\) intersect \(\omega\) again at \(V\) and \(W\), respectively. Prove that \(AB = VW\).;
APMO 2015/2;0;N/A;;A;Let \(S=\{2, 3, 4, \dots\}\) denote the set of integers that are greater than or equal to \(2\). Does there exist a function \(f:S\rightarrow S\) such that $$f(a)f(b)=f(a^2b^2) \textrm{ for all } a, b\in S \text{ with } a\neq b?$$;
APMO 2015/3;0;N/A;;N;The sequence of real numbers \(a_0, a_1, \dots\) is said to be <i>good</i> if the following three conditions hold. <ul><li>The value of \(a_0\) is a positive integer.</li><li>For each non-negative integer \(i\) we have \(a_{i+1}=2a_i+1\) or \(a_{i+1}=\frac{a_i}{a_i+2}\).</li><li>There exists a positive integer \(k\) such that \(a_k=2014\).</li></ul> Find the smallest positive integer \(n\) such that there exists a good sequence \(a_0, a_1, \dots\) of real numbers with the property that \(a_n=2014\).;
APMO 2015/4;0;N/A;;C;Let \(n\) be a positive integer. Consider \(2n\) distinct lines on the plane, no two of which are parallel. Of the \(2n\) lines, \(n\) are colored blue, the other \(n\) are colored red. Let \(\mathcal{B}\) be the set of all points on the plane that lie on at least one blue line, and \(\mathcal{R}\) the set of all points on the plane that lie on at least one red line. Prove that there exists a circle that intersects \(\mathcal{B}\) in exactly \(2n-1\) points, and also intersects \(\mathcal{R}\) in exactly \(2n-1\) points.;
APMO 2015/5;0;N/A;;A;Determine all sequences \(a_0, a_1, a_2, \dots\) of positive integers with \(a_0\geq 2015\) such that for all integers \(n\geq 1\): <ul><li>\(a_{n+2}\) is divisible by \(a_n\);</li><li>\(|s_{n+1}-(n+1)a_n|=1\), where \(s_{n+1}=a_{n+1}-a_n+a_{n-1}-\dots+(-1)^{n+1}a_0\).</ul>;
APMO 2014/1;0;N/A;;N;For a positive integer \(m\) denote by \(S(m)\) and \(P(m)\) the sum and product, respectively, of the digits of \(m\). Show that for each positive integer \(n\), there exist positive integers \(a_1, a_2, \dots, a_n\) satisfying the following conditions: $$S(a_1) < S(a_2) < \dots < S(a_n) \text{ and } S(a_i) = P(a_{i+1}) \quad (i = 1, 2, \dots, n).$$ (We let \(a_{n+1}=a_1\).);
APMO 2014/2;0;N/A;;C;Let \(S = \{1, 2, \dots, 2014\}\). For each non-empty subset \(T\subseteq S\), one of its members is chosen as its <i>representative</i>. Find the number of ways to assign representatives to all non-empty subsets of \(S\) so that if a subset \(D\subseteq S\) is a disjoint union of non=empty subsets \(A, B, C\subseteq S\), then the representative of \(D\) is also the representative of at least one of \(A, B, C\).;
APMO 2014/3;0;N/A;;N;Find all positive integers \(n\) such that for any integer \(k\) there exists an integer \(a\) for which \(a^3+a-k\) is divisible by \(n\).;
APMO 2014/4;0;N/A;;C;Let \(n\) and \(b\) be positive integers. We say \(n\) is \(b\)-<i>discerning</i> if there exists a set consisting of \(n\) different positive integers less than \(b\) that has no two different subsets \(U\) and \(V\) such that the sum of all elements in \(U\) equal the sum of all elements in \(V\). <br> <br> (a) Prove that \(8\) is a \(100\)-discerning. <br> (b) Prove that \(9\) is not \(100\)-discerning. ;
APMO 2014/5;0;N/A;;G;Circles \(\omega\) and \(\Omega\) meet at points \(A\) and \(B\). Let \(M\) be the midpoint of the arc \(AB\) of circle \(\omega\) (\(M\) lies inside \(\Omega\)). A chord \(MP\) of circle \(\omega\) intersects \(\Omega\) at \(Q\) (\(Q\) lies inside \(\omega\)). Let \(\ell_P\) be the tangent line to \(\omega\) at \(P\), and let \(\ell_Q\) be the tangent line to \(\Omega\) at \(Q\). Prove that the circumcircle of the triangle formed by the lines \(\ell_P\), \(\ell_Q\), and \(AB\) are tangent to \(\Omega\).;
